CircleName,RegionName,DivisionName,PinCodeName,Pincode,OfficeType,Delivery,District,StateName,Statecode,Latitude,Longitude
Telangana Circle,Hyderabad Region,Nizamabad Division,Pothangalkalan B.O,503114,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.3828083,78.066925
Telangana Circle,Hyderabad Region,Nizamabad Division,Narsannapalli B.O,503102,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.2746869,78.3558637
Telangana Circle,Hyderabad Region,Nizamabad Division,Pondurthy B.O,503102,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.2515275,78.3603341
Telangana Circle,Hyderabad Region,Nizamabad Division,Anthampalli B.O,503102,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.2171051,78.405877
Telangana Circle,Hyderabad Region,Nizamabad Division,Adloor B.O,503145,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.3716726,78.3090759
Telangana Circle,Hyderabad Region,Nizamabad Division,Chukkapur B.O,503112,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.3558646,78.329699
Telangana Circle,Hyderabad Region,Nizamabad Division,Devanappli B.O,503112,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.3193907,78.3222828
Telangana Circle,Hyderabad Region,Nizamabad Division,Korpole B.O,503124,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.2921474,78.1160155
Telangana Circle,Hyderabad Region,Nizamabad Division,Perumalla B.O,503124,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.2004642,78.1276489
Telangana Circle,Hyderabad Region,Nizamabad Division,Shakarga B.O,503309,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.5329923,77.618717
Telangana Circle,Hyderabad Region,Nizamabad Division,Tadgur B.O,503309,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.4655447,77.5947896
Telangana Circle,Hyderabad Region,Nizamabad Division,Manoor B.O,503309,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.4787566,77.6578199
Telangana Circle,Hyderabad Region,Nizamabad Division,Thimmakapalli B.O,503110,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.2632537,78.3335367
Telangana Circle,Hyderabad Region,Nizamabad Division,Gidda B.O,503144,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.4168236,78.4215379
Telangana Circle,Hyderabad Region,Nizamabad Division,Esaipet B.O,503144,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.3648215,78.4482065
Telangana Circle,Hyderabad Region,Nizamabad Division,Isrojiwadi B.O,503144,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.3832431,78.3376219
Telangana Circle,Hyderabad Region,Nizamabad Division,Somarampet B.O,503144,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.4128686,78.5354213
Telangana Circle,Hyderabad Region,Nizamabad Division,Kalyani B.O,503122,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.2231027,78.0036348
Telangana Circle,Hyderabad Region,Nizamabad Division,Rudraram B.O,503122,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.1345709,77.9926778
Telangana Circle,Hyderabad Region,Nizamabad Division,Godmegaon B.O,503310,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.2316507,77.756802
Telangana Circle,Hyderabad Region,Nizamabad Division,Chinnamallareddy B.O,503110,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.2632537,78.3335367
Telangana Circle,Hyderabad Region,Nizamabad Division,Chitial B.O,503110,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.259275,78.2497883
Telangana Circle,Hyderabad Region,Nizamabad Division,Moshampur B.O,503144,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.4105263,78.3219411
Telangana Circle,Hyderabad Region,Nizamabad Division,Padmajiwadi B.O,503145,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.441034,78.237848
Telangana Circle,Hyderabad Region,Nizamabad Division,Atmakur B.O,503122,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.106488,78.0427315
Telangana Circle,Hyderabad Region,Nizamabad Division,Gundiwait B.O,503122,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.1948856,78.0148579
Telangana Circle,Hyderabad Region,Nizamabad Division,Yellutla B.O,503122,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.1948856,78.0148579
Telangana Circle,Hyderabad Region,Nizamabad Division,Kankal B.O,503120,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.3389114,78.2170172
Telangana Circle,Hyderabad Region,Nizamabad Division,Nandiwada B.O,503120,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.266342,78.222613
Telangana Circle,Hyderabad Region,Nizamabad Division,Pegdapalli B.O,503235,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.7372407,77.9031943
Telangana Circle,Hyderabad Region,Nizamabad Division,Nasrullabad B.O,503321,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.4842409,77.86523
Telangana Circle,Hyderabad Region,Nizamabad Division,Thimmapuram B.O,503321,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.4646473,77.8019238
Telangana Circle,Hyderabad Region,Nizamabad Division,Mandarna B.O,503185,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.6709873,77.7470805
Telangana Circle,Hyderabad Region,Nizamabad Division,Pentakurd B.O,503185,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.6377136,77.8508534
Telangana Circle,Hyderabad Region,Nizamabad Division,Badsi B.O,503230,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.647018,78.133392
Telangana Circle,Hyderabad Region,Nizamabad Division,Boregaon B.O,503230,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.647018,78.133392
Telangana Circle,Hyderabad Region,Nizamabad Division,Kurnapalli B.O,503202,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.6937116,78.052145
Telangana Circle,Hyderabad Region,Nizamabad Division,Kondur B.O,503246,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.8111298,78.0629922
Telangana Circle,Hyderabad Region,Nizamabad Division,Pothangal B.O,503246,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.7963568,78.0287932
Telangana Circle,Hyderabad Region,Nizamabad Division,Binola B.O,503246,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.8534023,78.0339875
Telangana Circle,Hyderabad Region,Nizamabad Division,Edgikalan B.O,503305,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.3892066,77.5954683
Telangana Circle,Hyderabad Region,Nizamabad Division,Gullabuzrug B.O,503305,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.3649883,77.539875
Telangana Circle,Hyderabad Region,Nizamabad Division,Wajrakhandi B.O,503305,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.31412,77.614685
Telangana Circle,Hyderabad Region,Nizamabad Division,Sunkini B.O,503207,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.6298832,77.74626
Telangana Circle,Hyderabad Region,Nizamabad Division,Domaledgi B.O,503207,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.6305759,77.7909988
